Objects
100
,,Global Angle rccar_car_01:rccar_car_01,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
274,0,-0.00140875,0.0146697,-1.37618,-494.717,477.913,156.487
275,0,-0.00344868,0.0161777,-1.37367,-490.962,457.931,156.318
276,0,-0.00246137,0.0139298,-1.37122,-486.497,437.828,156.028
277,0,-0.00160305,0.0124118,-1.36788,-482.089,417.842,155.773
278,0,-0.00210612,0.0122214,-1.36509,-477.757,397.791,155.506
279,0,-0.0028484,0.0137869,-1.36175,-473.497,377.775,155.215
280,0,-0.00148465,0.0122804,-1.35994,-468.939,357.682,155
281,0,-0.00168135,0.0122451,-1.35786,-464.644,337.649,154.776
282,0,-0.00207843,0.0112276,-1.35533,-460.183,317.604,154.62
283,0,-0.00248709,0.00898463,-1.35249,-455.609,297.641,154.569
284,0,-0.00327046,0.00749236,-1.34933,-450.981,277.552,154.438
285,0,-0.00421069,0.00672474,-1.34639,-446.359,257.579,154.401
286,0,-0.00449279,0.00572546,-1.34426,-441.591,237.585,154.362
287,0,-0.00545837,0.00663356,-1.34189,-436.905,217.653,154.306
288,0,-0.00610215,0.0068081,-1.33887,-432.048,197.66,154.348
289,0,-0.0064403,0.00738124,-1.33616,-427.127,177.68,154.169
290,0,-0.00714661,0.00728696,-1.33337,-422.106,157.691,153.931
291,0,-0.00754724,0.00616877,-1.33051,-417.102,137.745,153.842
292,0,-0.00858693,0.00552079,-1.32769,-412.099,117.796,153.781
293,0,-0.00765427,0.00465709,-1.32625,-407.019,97.9709,153.649
294,0,-0.00800238,0.00517889,-1.32395,-401.956,78.0101,153.519
295,0,-0.00715224,0.00537546,-1.32168,-396.73,58.0866,153.386
296,0,-0.00620117,0.00464882,-1.31888,-391.341,38.1811,153.346
297,0,-0.00712813,0.00430304,-1.31652,-386.108,18.2392,153.186
298,0,-0.00665837,0.00308253,-1.31487,-380.746,-1.46274,153.169
299,0,-0.00771408,0.00222087,-1.31156,-375.313,-21.4181,153.199
300,0,-0.0085723,0.00245511,-1.30881,-369.975,-41.271,153.168
301,0,-0.00819591,0.00248754,-1.30584,-364.416,-61.0785,153.148
302,0,-0.00824535,0.00319557,-1.3033,-358.969,-80.8232,153.198
303,0,-0.00702124,0.00399275,-1.30083,-353.193,-100.601,152.961
304,0,-0.00836291,0.0052724,-1.29698,-347.485,-120.46,152.854
